CódigoVenda;Quantidade;Produto;Valor Unitário;Valor Final
65014;5;Sunga Listrado;R$ 114,00;R$ 570,00
65014;1;Casaco Listrado;R$ 269,00;R$ 269,00
65016;2;Sapato Listrado;R$ 363,00;R$ 726,00
65016;1;Casaco;R$ 250,00;R$ 250,00
65017;3;Gorro Liso;R$ 92,00;R$ 276,00
65018;1;Cueca Estampa;R$ 66,00;R$ 66,00
65018;1;Sunga Xadrez;R$ 116,00;R$ 116,00
65018;1;Casaco Listrado;R$ 269,00;R$ 269,00
65019;2;Polo Xadrez;R$ 142,00;R$ 284,00
65019;1;Tênis Linho;R$ 294,00;R$ 294,00
65020;4;Pulseira Listrado;R$ 79,00;R$ 316,00
65020;5;Camiseta Xadrez;R$ 200,00;R$ 1.000,00
65020;2;Camisa Listrado;R$ 108,00;R$ 216,00
65024;2;Camiseta Estampa;R$ 196,00;R$ 392,00
65025;5;Calça Xadrez;R$ 185,00;R$ 925,00
65025;1;Short Listrado;R$ 102,00;R$ 102,00
65025;1;Meia Listrado;R$ 37,00;R$ 37,00
65027;1;Relógio Listrado;R$ 218,00;R$ 218,00
65028;5;Sapato;R$ 350,00;R$ 1.750,00
65028;1;Pulseira Xadrez;R$ 87,00;R$ 87,00
65030;1;Relógio Liso;R$ 216,00;R$ 216,00
65030;1;Camisa Gola V Xadrez;R$ 107,00;R$ 107,00
65031;4;Meia Liso;R$ 38,00;R$ 152,00
65032;2;Sunga;R$ 100,00;R$ 200,00
65032;3;Pulseira Estampa;R$ 87,00;R$ 261,00
65033;1;Casaco Estampa;R$ 256,00;R$ 256,00
65034;4;Camisa Gola V Liso;R$ 118,00;R$ 472,00
65034;5;Sapato Linho;R$ 391,00;R$ 1.955,00
65036;1;Calça;R$ 170,00;R$ 170,00
65037;1;Terno Xadrez;R$ 709,00;R$ 709,00
65037;1;Gorro Xadrez;R$ 85,00;R$ 85,00
65037;1;Cueca Xadrez;R$ 60,00;R$ 60,00
65037;1;Calça Linho;R$ 211,00;R$ 211,00
65037;5;Camisa Gola V;R$ 100,00;R$ 500,00
65038;5;Sunga Linho;R$ 149,00;R$ 745,00
65039;2;Mochila;R$ 270,00;R$ 540,00
65040;1;Sunga Xadrez;R$ 116,00;R$ 116,00
65040;4;Gorro Estampa;R$ 93,00;R$ 372,00
65043;1;Casaco;R$ 250,00;R$ 250,00
65043;1;Short Xadrez;R$ 100,00;R$ 100,00
65043;5;Calça;R$ 170,00;R$ 850,00
65043;3;Meia Xadrez;R$ 41,00;R$ 123,00
65044;1;Camisa Linho;R$ 141,00;R$ 141,00
65044;1;Short Linho;R$ 133,00;R$ 133,00
65045;2;Pulseira;R$ 70,00;R$ 140,00
65046;2;Gorro Listrado;R$ 97,00;R$ 194,00
65047;1;Calça Listrado;R$ 181,00;R$ 181,00
65047;5;Bermuda Xadrez;R$ 155,00;R$ 775,00
65047;3;Terno Listrado;R$ 709,00;R$ 2.127,00
65048;3;Tênis Liso;R$ 266,00;R$ 798,00
65049;5;Terno Linho;R$ 750,00;R$ 3.750,00
65049;1;Gorro Xadrez;R$ 85,00;R$ 85,00
65050;2;Camisa Gola V Xadrez;R$ 107,00;R$ 214,00
65051;1;Polo;R$ 130,00;R$ 130,00
65053;4;Camisa Gola V Estampa;R$ 118,00;R$ 472,00
65054;5;Sunga Linho;R$ 149,00;R$ 745,00
65055;2;Camiseta Estampa;R$ 196,00;R$ 392,00
65055;2;Gorro Listrado;R$ 97,00;R$ 194,00
65056;2;Calça;R$ 170,00;R$ 340,00
65056;1;Bermuda Estampa;R$ 169,00;R$ 169,00
65056;5;Mochila Xadrez;R$ 283,00;R$ 1.415,00
65057;2;Pulseira Listrado;R$ 79,00;R$ 158,00
65058;2;Meia Estampa;R$ 50,00;R$ 100,00
65058;2;Sunga Estampa;R$ 120,00;R$ 240,00
65058;1;Gorro Listrado;R$ 97,00;R$ 97,00
65060;4;Gorro Xadrez;R$ 85,00;R$ 340,00
65060;1;Calça Liso;R$ 190,00;R$ 190,00
